"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 28 12:03:23 EST 2020","Mon Dec 28 12:03:35 EST 2020","12011","","Manage Users","","","","Verify admin can remove super user role for another user and login as that user to check",""
"passed","Mon Dec 28 12:01:47 EST 2020","Mon Dec 28 12:01:51 EST 2020","4151","","Admin and End User LogIns","","","","Verify Common Menu Items and Admin Menu Items for Admin",""
"passed","Mon Dec 28 12:03:12 EST 2020","Mon Dec 28 12:03:22 EST 2020","10508","","Manage Users","","","","Verify admin can change the role to super user and update password, full name and email",""
"failed","Mon Dec 28 12:02:51 EST 2020","Mon Dec 28 12:02:52 EST 2020","1478","","User Profile","","","","Verify user can recover password via Forget your password link",""
"failed","Mon Dec 28 12:03:04 EST 2020","Mon Dec 28 12:03:12 EST 2020","7908","","Manage Users","","","","Verify admin can change the role to super user for another user",""
"passed","Mon Dec 28 12:02:52 EST 2020","Mon Dec 28 12:02:56 EST 2020","3348","","Manage Users","","","","Verify data for all users listed on Manage Users Page against API",""
"passed","Mon Dec 28 12:03:44 EST 2020","Mon Dec 28 12:03:53 EST 2020","9159","","Manage Users","","","","Verify admin can change end user status back to active and user cannot login",""
"passed","Mon Dec 28 12:02:45 EST 2020","Mon Dec 28 12:02:51 EST 2020","6263","","User Profile","","","","Verify end user can change password and can login with new password",""
"skipped","Mon Dec 28 12:03:53 EST 2020","Mon Dec 28 12:03:53 EST 2020","0","","Create Users","","","","Verify admin can create new end user and new user can log in",""
"passed","Mon Dec 28 12:03:35 EST 2020","Mon Dec 28 12:03:43 EST 2020","8892","","Manage Users","","","","Verify admin can change end user status as inactive and user cannot login",""
"passed","Mon Dec 28 12:01:51 EST 2020","Mon Dec 28 12:01:55 EST 2020","3853","","Admin and End User LogIns","","","","Verify Common Menu Items and Admin Menu Items for End User",""
"passed","Mon Dec 28 12:02:00 EST 2020","Mon Dec 28 12:02:06 EST 2020","5336","","GUI Navigation","","","","Verify navigation to Edit User Profile Page for End User",""
"passed","Mon Dec 28 12:01:55 EST 2020","Mon Dec 28 12:02:00 EST 2020","5369","","GUI Navigation","","","","Verify navigation to User Profile Page for Admin",""
"failed","Mon Dec 28 12:02:40 EST 2020","Mon Dec 28 12:02:45 EST 2020","4672","","User Profile","","","","Verify end user can update user profile and view saved changes",""
"passed","Mon Dec 28 12:02:56 EST 2020","Mon Dec 28 12:03:04 EST 2020","8084","","Manage Users","","","","Verify admin can change the password for another user and that user is able to login",""
"passed","Mon Dec 28 12:02:10 EST 2020","Mon Dec 28 12:02:16 EST 2020","6199","","GUI Navigation","","","","Verify navigation to Manage User and Create User Page for Admin",""
"passed","Mon Dec 28 12:02:06 EST 2020","Mon Dec 28 12:02:10 EST 2020","4082","","GUI Navigation","","","","Verify navigation to Change Password Page for End User",""
"passed","Mon Dec 28 12:02:31 EST 2020","Mon Dec 28 12:02:40 EST 2020","9260","","User Profile","","","","Verify Data on User Profile for Admin and End User",""
